id,name_zh,name_en,category,trophic_level,rarity,base_size,size_cap,grow_factor,hunger_rate,mood_base,vitality_base,eats,alt_eats,produces,light_pref,oxygen_need,nutrient_need,unlock_condition,sprite_stages,coin_value,codex_desc
1,螺旋藻,Spirulina,plant,1,common,4,12,0.6,0,0,0,,,oxygen,high,0,low,初始解锁,1,0,缸内最基础的绿藻，会随阳光与营养自然繁殖。
2,苔藓,Moss,plant,1,common,3,8,0.4,0,0,0,,,oxygen,low,0,low,初始解锁,1,0,贴附在沙石上的低光绿苔，缓慢蔓延。
3,水草丛,WaterGrass,plant,1,common,8,20,0.3,0,0,0,,,oxygen,medium,0,medium,装饰商店购买,2,30,中层水草，提供躲藏点，鱼会在草丛里休息。
4,黑壳虾,BlackShrimp,invertebrate,2,common,5,15,1.0,8,60,70,1;2,,nutrient,medium,low,medium,初始解锁,3,0,清缸主力，啃食藻类与残渣，繁殖快。
5,苹果螺,AppleSnail,invertebrate,2,common,4,10,0.8,6,55,60,1;2,,nutrient,low,low,low,事件「漂流瓶」,2,20,搬运工型，缓慢爬行清理缸壁。
6,灯科鱼,NeonTetra,fish,3,common,6,18,1.2,10,70,80,4;5,1,nutrient,medium,medium,medium,初始解锁,4,50,小型群游鱼，受惊会聚成鱼群。
7,孔雀鱼,Guppy,fish,3,common,7,22,1.3,11,72,82,4;5,1,nutrient,medium,medium,medium,事件「海风带来」,4,60,色彩斑斓的胎生鱼，性格活泼。
8,月光鱼,Platy,fish,3,rare,8,24,1.4,12,75,80,4;5,1,nutrient,high,medium,medium,事件「营养雨」,4,120,体色随心情变化的中层鱼，泳姿优雅。
9,斗鱼,Betta,fish,3,rare,10,28,1.5,14,65,75,4;5,,nutrient,medium,medium,medium,事件「客人造访」,4,150,独行性强，鳍展示华丽，饱食后会鼓鳃。
10,鲶鱼,Catfish,fish,4,rare,12,32,1.1,16,68,78,6;7,4,nutrient,low,high,high,事件「雷暴日」,4,180,底层捕食者，夜间活跃，食量大。
11,虹鳉,Rainbowfish,fish,3,rare,9,26,1.4,12,73,82,4;5,1,nutrient,high,medium,medium,事件「下雨日」,4,140,体侧反光彩虹，群游时屏幕会有光带效果。
12,水晶虾,CrystalShrimp,invertebrate,2,rare,4,12,0.9,8,65,70,1;2,,nutrient,medium,low,low,事件「流星雨」,3,200,半透明红白条纹虾，对水质敏感，是健康指标。
13,银龙幼鱼,SilverArowanaJ,fish,4,limited,14,40,1.0,18,70,85,6;7;11,4,nutrient,high,high,high,事件「满月之夜」,4,500,大型掠食鱼幼体，最终会长到很大，缸内霸主。
14,小丑鱼,Clownfish,fish,3,limited,8,24,1.3,11,78,85,4;5,1,nutrient,high,medium,medium,事件「节气访客」,4,300,需与海葵共生才能稳定，仅在特定季节出现。
15,海葵,Anemone,plant,1,limited,10,20,0.2,0,0,0,,,oxygen,high,0,medium,事件「节气访客」,2,250,触手会随水流摆动，与小丑鱼形成共生加成。
16,水母,Jellyfish,fish,3,limited,12,28,0.8,10,80,70,1,,,medium,medium,low,事件「生日彩蛋」,4,400,半透明发光（仅限定特效，非SSR），缓慢漂浮。
17,招财猫鱼,LuckyCatFish,fish,3,limited,9,26,1.2,12,75,80,4;5,,nutrient,medium,medium,medium,事件「节气访客·春节」,4,350,体色金红，被抚摸时会喷出金币粒子。
18,玻璃猫,GlassCat,fish,3,rare,8,22,1.3,11,68,78,4;5,,nutrient,low,medium,medium,事件「漂流瓶·进阶」,4,160,身体几乎完全透明，只见骨架与内脏轮廓。
19,鼠鱼,CoryCat,fish,4,common,7,18,1.0,10,72,80,4;5,1,nutrient,low,medium,medium,装饰商店购买,3,80,底栖小型鲶科，会成群觅食，性格温和。
