id,event_key,name,category,trigger_type,trigger_condition,daily_cap,cooldown_min,duration_sec,priority,reward_pool,reward_weight,extra_effect,sfx,popup_title,popup_desc,popup_emoji,can_dismiss,unlock_chapter,note
E001,seagull_visit,海鸥来访,gift,scheduled,daily_first_open=true,1,1440,30,80,box_common;box_rare;creature_l3_common,40;30;30,coins+50,seagull.wav,海鸥送来了礼物,一只海鸥从海面飞过，嘴里叼着一个礼盒。,🕊️,true,1,v0.4:30%概率掉生物
E002,bottle_drift,漂流瓶,gift,scheduled,interval_h=4,4,240,20,60,box_common;decor_pack;creature_l3_common,50;20;30,nutrient+10,water.wav,海面漂来了瓶子,瓶口塞着一张泛黄的便签，似乎来自远方。,🍾,true,1,v0.4:cap4+30%生物
E003,sea_breeze,海风带来,creature,scheduled,interval_h=8,3,360,30,70,creature_l3_common;creature_l3_rare,60;40,sun+15,wind.wav,海风带来了新生物,风里夹着海腥味，有什么东西被吹进了缸里。,🌬️,true,1,v0.4:cap3+rare池
E004,rainy_day,下雨日,environment,weather_api,weather=rain,1,720,300,90,creature_rare;creature_l3_common;nutrient_boost,40;40;20,oxygen+20;rain_anim,rain.wav,缸里下雨了,雨滴打在水面溅起涟漪，鱼儿活力满满。,🌧️,false,1,v0.4:rare池+冷却减半
E005,thunder_night,雷暴日,environment,weather_api,weather=thunder&hour=18-23,1,1440,600,95,creature_l4_rare;creature_limited;decor_dark,55;25;20,vitality+5;screen_flash,thunder.wav,雷暴之夜,闪电照亮了缸底，似乎惊动了什么深水生物。,⚡,false,2,v0.4:章节2解锁+限定池
E006,snow_day,雪天,environment,weather_api,weather=snow,1,1440,300,85,decor_winter;creature_rare;coins_boost,40;40;20,sun-10;snow_anim,snow.wav,缸面落雪,雪花在水面缓缓融化，时间仿佛慢了下来。,❄️,false,1,v0.4:rare池
E007,nutrient_rain,营养雨,environment,charging,charging=true&duration_min=30,2,360,180,75,box_rare;creature_rare;creature_l3_common,30;40;30,nutrient+30,sparkle.wav,营养雨降临,充电的能量化作绿色雨滴洒向缸中。,💚,true,1,v0.4:cap2+概率35%
E008,meteor_shower,流星雨,environment,scheduled,date=20/4/22 23:00,1,4320,120,100,creature_limited;creature_rare;decor_starry,30;50;20,starry_bg,meteor.wav,流星雨,夜空中划过密集的流星，许个愿吧。,🌠,false,2,v0.4:章节2+限定权重降至30
E009,full_moon,满月之夜,environment,scheduled,lunar=15&hour=20-23,1,99999,600,90,creature_limited_l4;creature_l4_rare,30;70,moon_glow,moon.wav,满月之夜,月光洒在缸面，深处似乎有什么在浮出。,🌕,false,2,v0.4:限定权重降至30
E010,solarterm_visit,节气访客,creature,scheduled,date=solar_term,1,99999,300,95,creature_limited_seasonal;creature_l3_rare,40;60,decor_seasonal+1,bell.wav,节气访客来访,二十四节气之客带着应季的礼物造访。,🎋,true,2,v0.4:限定权重降至40
